Name,Address,District,Type,Lat,Long
City Lofts Sudirman,"Jl. K.H. Mas Mansyur No.121, RT.13/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",Central Jakarta,Building,-6.208842675,106.818367
AIA Central,"Jl. Jend. Sudirman No.Kav. 48A, RT.5/RW.4, Karet, Semanggi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930",South Jakarta,Building,-6.218021125,106.8168719
The Grove Tower,"Jl. H. R. Rasuna Said, RT.2/RW.5, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960",South Jakarta,Building,-6.217966032,106.8342178
Office 8,"Scbd, Office 8, Jl. Jenderal Sudirman No.8, RW.3, Senayan, Kebayoran Baru, Jakarta 12190",South Jakarta,Building,-6.2294674,106.8059977
Plaza BII Tower II,"Jl. M.H. Thamrin 51, Menteng, Central Jakarta, DKI Jakarta 10350",Central Jakarta,Building,-6.189989165,106.8236487
Lacewood Tower,"Jl. Sultan Iskandar Muda No. 12, Kebayoran Lama, Jl. Nasional 12, Jakarta Selata, RT.7/RW.1, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220",South Jakarta,Building,-6.23683295,106.7844658
The St Moritz Office Tower,"RT.3/RW.2, South Kembangan, Kembangan, West Jakarta City, Jakarta 11610",West Jakarta,Building,-6.188405384,106.7384705
Sudirman Square Tower,"Jl. Jend. Sudirman No.46, RT.14/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",Central Jakarta,Building,-6.216324706,106.8181777
Holland Village Office Tower,"Jl. Letjen. Suprapto Kav.60 No.1, RT.10/RW.7, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510",Central Jakarta,Building,-6.166909388,106.8762646
Cyber 2 Tower,"Jl. H.R. Rasuna Said Blok X-5 No.13, H.R. Rasuna Said, Rasuna Said, Jakarta Selatan",South Jakarta,Building,-6.226263088,106.8323166
Indofood Tower,"Jalan Jendral Sudirman No.KAV.76-78 RT.5/RW.RT.4, RT.2/RW.2, Kuningan, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910",South Jakarta,Building,-6.20813855,106.8225325
AYANA Midplaza Jakarta,"Jl. Jenderal Sudirman Blok 10-11, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",Central Jakarta,Building,-6.20898345,106.8196668
Menara BRILiaN,"Jl. Gatot Subroto No. 177A, Kel No.RT 009/01, Menteng Dalam, Tebet, South Jakarta City, Jakarta 12870",South Jakarta,Building,-6.240670205,106.8363458
Mangkuluhur City Office Tower One,"Jl. Gatot Subroto No.Kav. 1, RW.3, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",South Jakarta,Building,-6.220868842,106.8145036
Mall Taman Anggrek,"Jl. Tj. Duren Timur 2 No.12, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",West Jakarta,Building,-6.178041498,106.7919312
Apartemen Taman Anggrek,"Letjen S. Parman St No.Kav. 21, RT.12/RW.1, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",West Jakarta,Building,-6.1799897,106.7916423
Menara BNI,"Jl. Pejompongan Raya No.7, RT.1/RW.5, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",Central Jakarta,Building,-6.2039782,106.8027027
Dukuh Golf Apartment Tower,"Citra Towers Kemayoran, 3rd floor, CREO #E3, RT.13/RW.6, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630",Central Jakarta,Building,-6.158496944,106.8524137
Office tower A MGK Kemayoran,"Office Tower A Lt. 6, Superblok Mega Kemayoran Jln. Angkasa Kav. B6, Jl. Kota Baru Bandar Kemayoran, RW.10, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610",Central Jakarta,Building,-6.155550925,106.8501556
Royale Springhill Tower Lavender,"Jl. Benyamin Suaeb No.D7, Pademangan Tim., Kec. Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14410",North Jakarta,Building,-6.14614229,106.8512985
Kalibata City Tower Lotus,"PVR2+W87, RT.9/RW.4, Kalibata, Pancoran, South Jakarta City, Jakarta 12750",South Jakarta,Building,-6.257708171,106.8507941
The Lavande Residences,"Jl. Prof. DR. Soepomo No.231, RT.7/RW.1, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870",South Jakarta,Building,-6.23656785,106.8430183
Tower Magnolia Apartemen,"Tower Magnolia (Orange, Green Pramuka City, Apartemen, RT.16/RW.9, Rawasari, Cempaka Putih, Jakarta 10570",Central Jakarta,Building,-6.18979962,106.87348
ITC Kuningan,"Jl. Prof. DR. Satrio No.18, RT.11/RW.4, Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",South Jakarta,Building,-6.22313485,106.8259741
The City Tower,"Jl. M.H. Thamrin No.81, Dukuh Atas, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Central Jakarta,Building,-6.1992284,106.823232
Fairmont Hotel,"Jl. Asia Afrika No.8, Senayan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",Central Jakarta,Building,-6.221931534,106.7989772
